num_layers,lr,batch_size,opt_name,img_size,test_accuracy,epochs_run,folder
3,0.05,8,adam,64,0.39473684210526316,134,run_88_adam_ly3_lr0.05_bs8
3,0.05,8,sgd,64,0.5263157894736842,51,run_89_sgd_ly3_lr0.05_bs8
3,0.05,16,adam,64,0.5263157894736842,229,run_90_adam_ly3_lr0.05_bs16
3,0.05,16,sgd,64,0.5263157894736842,51,run_91_sgd_ly3_lr0.05_bs16
3,0.05,32,adam,64,0.5,180,run_92_adam_ly3_lr0.05_bs32
3,0.05,32,sgd,64,0.5263157894736842,51,run_93_sgd_ly3_lr0.05_bs32
3,0.05,64,adam,64,0.5789473684210527,81,run_94_adam_ly3_lr0.05_bs64
3,0.05,64,sgd,64,0.5263157894736842,51,run_95_sgd_ly3_lr0.05_bs64
5,0.001,8,adam,64,0.6052631578947368,125,run_96_adam_ly5_lr0.001_bs8
5,0.001,8,sgd,64,0.3684210526315789,51,run_97_sgd_ly5_lr0.001_bs8
5,0.001,16,adam,64,0.631578947368421,134,run_98_adam_ly5_lr0.001_bs16
5,0.001,16,sgd,64,0.3684210526315789,51,run_99_sgd_ly5_lr0.001_bs16
5,0.001,32,adam,64,0.631578947368421,150,run_100_adam_ly5_lr0.001_bs32
5,0.001,32,sgd,64,0.3684210526315789,51,run_101_sgd_ly5_lr0.001_bs32
5,0.001,64,adam,64,0.6578947368421053,211,run_102_adam_ly5_lr0.001_bs64
5,0.001,64,sgd,64,0.3684210526315789,51,run_103_sgd_ly5_lr0.001_bs64
5,0.01,8,adam,64,0.47368421052631576,201,run_104_adam_ly5_lr0.01_bs8
5,0.01,8,sgd,64,0.3684210526315789,51,run_105_sgd_ly5_lr0.01_bs8
5,0.01,16,adam,64,0.6052631578947368,257,run_106_adam_ly5_lr0.01_bs16
5,0.01,16,sgd,64,0.3684210526315789,51,run_107_sgd_ly5_lr0.01_bs16
5,0.01,32,adam,64,0.6578947368421053,140,run_108_adam_ly5_lr0.01_bs32
5,0.01,32,sgd,64,0.3684210526315789,51,run_109_sgd_ly5_lr0.01_bs32
5,0.01,64,adam,64,0.631578947368421,245,run_110_adam_ly5_lr0.01_bs64
5,0.01,64,sgd,64,0.3684210526315789,51,run_111_sgd_ly5_lr0.01_bs64
5,0.02,8,adam,64,0.5526315789473685,172,run_112_adam_ly5_lr0.02_bs8
5,0.02,8,sgd,64,0.3684210526315789,51,run_113_sgd_ly5_lr0.02_bs8
5,0.02,16,adam,64,0.631578947368421,191,run_114_adam_ly5_lr0.02_bs16
5,0.02,16,sgd,64,0.3684210526315789,51,run_115_sgd_ly5_lr0.02_bs16
5,0.02,32,adam,64,0.4473684210526316,465,run_116_adam_ly5_lr0.02_bs32
5,0.02,32,sgd,64,0.3684210526315789,51,run_117_sgd_ly5_lr0.02_bs32
5,0.02,64,adam,64,0.7105263157894737,86,run_118_adam_ly5_lr0.02_bs64
5,0.02,64,sgd,64,0.3684210526315789,51,run_119_sgd_ly5_lr0.02_bs64
5,0.05,8,adam,64,0.5,183,run_120_adam_ly5_lr0.05_bs8
5,0.05,8,sgd,64,0.3684210526315789,51,run_121_sgd_ly5_lr0.05_bs8
5,0.05,16,adam,64,0.4473684210526316,182,run_122_adam_ly5_lr0.05_bs16
5,0.05,16,sgd,64,0.3684210526315789,51,run_123_sgd_ly5_lr0.05_bs16
5,0.05,32,adam,64,0.47368421052631576,220,run_124_adam_ly5_lr0.05_bs32
5,0.05,32,sgd,64,0.3684210526315789,51,run_125_sgd_ly5_lr0.05_bs32
5,0.05,64,adam,64,0.5263157894736842,124,run_126_adam_ly5_lr0.05_bs64
5,0.05,64,sgd,64,0.3684210526315789,51,run_127_sgd_ly5_lr0.05_bs64
7,0.001,8,adam,64,0.47368421052631576,103,run_128_adam_ly7_lr0.001_bs8
7,0.001,8,sgd,64,0.47368421052631576,51,run_129_sgd_ly7_lr0.001_bs8
7,0.001,16,adam,64,0.5,113,run_130_adam_ly7_lr0.001_bs16
7,0.001,16,sgd,64,0.47368421052631576,51,run_131_sgd_ly7_lr0.001_bs16
7,0.001,32,adam,64,0.47368421052631576,51,run_132_adam_ly7_lr0.001_bs32
7,0.001,32,sgd,64,0.47368421052631576,51,run_133_sgd_ly7_lr0.001_bs32
7,0.001,64,adam,64,0.47368421052631576,51,run_134_adam_ly7_lr0.001_bs64
7,0.001,64,sgd,64,0.47368421052631576,51,run_135_sgd_ly7_lr0.001_bs64
7,0.01,8,adam,64,0.5263157894736842,328,run_136_adam_ly7_lr0.01_bs8
7,0.01,8,sgd,64,0.47368421052631576,51,run_137_sgd_ly7_lr0.01_bs8
7,0.01,16,adam,64,0.4473684210526316,312,run_138_adam_ly7_lr0.01_bs16
7,0.01,16,sgd,64,0.47368421052631576,51,run_139_sgd_ly7_lr0.01_bs16
7,0.01,32,adam,64,0.3684210526315789,280,run_140_adam_ly7_lr0.01_bs32
7,0.01,32,sgd,64,0.47368421052631576,51,run_141_sgd_ly7_lr0.01_bs32
7,0.01,64,adam,64,0.39473684210526316,531,run_142_adam_ly7_lr0.01_bs64
7,0.01,64,sgd,64,0.47368421052631576,51,run_143_sgd_ly7_lr0.01_bs64
7,0.02,8,adam,64,0.47368421052631576,130,run_144_adam_ly7_lr0.02_bs8
7,0.02,8,sgd,64,0.47368421052631576,51,run_145_sgd_ly7_lr0.02_bs8
7,0.02,16,adam,64,0.42105263157894735,170,run_146_adam_ly7_lr0.02_bs16
7,0.02,16,sgd,64,0.47368421052631576,51,run_147_sgd_ly7_lr0.02_bs16
7,0.02,32,adam,64,0.47368421052631576,255,run_148_adam_ly7_lr0.02_bs32
7,0.02,32,sgd,64,0.47368421052631576,51,run_149_sgd_ly7_lr0.02_bs32
7,0.02,64,adam,64,0.47368421052631576,256,run_150_adam_ly7_lr0.02_bs64
7,0.02,64,sgd,64,0.47368421052631576,51,run_151_sgd_ly7_lr0.02_bs64
7,0.05,8,adam,64,0.5263157894736842,131,run_152_adam_ly7_lr0.05_bs8
7,0.05,8,sgd,64,0.47368421052631576,51,run_153_sgd_ly7_lr0.05_bs8
7,0.05,16,adam,64,0.5263157894736842,190,run_154_adam_ly7_lr0.05_bs16
7,0.05,16,sgd,64,0.47368421052631576,51,run_155_sgd_ly7_lr0.05_bs16
7,0.05,32,adam,64,0.42105263157894735,125,run_156_adam_ly7_lr0.05_bs32
7,0.05,32,sgd,64,0.47368421052631576,51,run_157_sgd_ly7_lr0.05_bs32
