Loaded train=174, val=36, test=38
Epoch 351/500: loss = 0.1699
Epoch 352/500: loss = 0.1662
Epoch 353/500: loss = 0.1702
Epoch 354/500: loss = 0.1781
Epoch 355/500: loss = 0.1852
Epoch 356/500: loss = 0.1861
Epoch 357/500: loss = 0.1812
Epoch 358/500: loss = 0.1833
Epoch 359/500: loss = 0.1764
Epoch 360/500: loss = 0.1706
  Eval → acc=0.861, f1=0.848, auc=0.941
Epoch 361/500: loss = 0.1649
Epoch 362/500: loss = 0.1679
Epoch 363/500: loss = 0.1711
Epoch 364/500: loss = 0.1704
Epoch 365/500: loss = 0.1673
Epoch 366/500: loss = 0.1681
Epoch 367/500: loss = 0.1652
Epoch 368/500: loss = 0.1619
Epoch 369/500: loss = 0.1640
Epoch 370/500: loss = 0.1596
  Eval → acc=0.861, f1=0.848, auc=0.963
Epoch 371/500: loss = 0.1637
Epoch 372/500: loss = 0.1630
Epoch 373/500: loss = 0.1687
Epoch 374/500: loss = 0.1744
Epoch 375/500: loss = 0.1825
Epoch 376/500: loss = 0.1652
Epoch 377/500: loss = 0.1685
Epoch 378/500: loss = 0.1600
Epoch 379/500: loss = 0.1617
Epoch 380/500: loss = 0.1631
  Eval → acc=0.833, f1=0.812, auc=0.929
Epoch 381/500: loss = 0.1626
Epoch 382/500: loss = 0.1716
Epoch 383/500: loss = 0.1606
Epoch 384/500: loss = 0.1653
Epoch 385/500: loss = 0.1633
Epoch 386/500: loss = 0.1607
Epoch 387/500: loss = 0.1679
Epoch 388/500: loss = 0.1574
Epoch 389/500: loss = 0.1579
Epoch 390/500: loss = 0.1560
  Eval → acc=0.861, f1=0.839, auc=0.923
Epoch 391/500: loss = 0.1574
Epoch 392/500: loss = 0.1599
Epoch 393/500: loss = 0.1568
Epoch 394/500: loss = 0.1732
Epoch 395/500: loss = 0.1792
Epoch 396/500: loss = 0.1566
Epoch 397/500: loss = 0.1748
Epoch 398/500: loss = 0.1560
Epoch 399/500: loss = 0.1578
Epoch 400/500: loss = 0.1557
  Eval → acc=0.861, f1=0.839, auc=0.957
Epoch 401/500: loss = 0.1553
Epoch 402/500: loss = 0.1536
Epoch 403/500: loss = 0.1600
Epoch 404/500: loss = 0.1540
Epoch 405/500: loss = 0.1524
Epoch 406/500: loss = 0.1572
Epoch 407/500: loss = 0.1527
Epoch 408/500: loss = 0.1639
Epoch 409/500: loss = 0.1516
Epoch 410/500: loss = 0.1583
  Eval → acc=0.861, f1=0.848, auc=0.963
Epoch 411/500: loss = 0.1528
Epoch 412/500: loss = 0.1545
Epoch 413/500: loss = 0.1540
Epoch 414/500: loss = 0.1486
Epoch 415/500: loss = 0.1525
Epoch 416/500: loss = 0.1548
Epoch 417/500: loss = 0.1595
Epoch 418/500: loss = 0.1538
Epoch 419/500: loss = 0.1497
Epoch 420/500: loss = 0.1572
  Eval → acc=0.833, f1=0.824, auc=0.957
Epoch 421/500: loss = 0.1489
Epoch 422/500: loss = 0.1684
Epoch 423/500: loss = 0.1496
Epoch 424/500: loss = 0.1454
Epoch 425/500: loss = 0.1484
Epoch 426/500: loss = 0.1488
Epoch 427/500: loss = 0.1408
Epoch 428/500: loss = 0.1507
Epoch 429/500: loss = 0.1422
Epoch 430/500: loss = 0.1517
  Eval → acc=0.833, f1=0.812, auc=0.941
Epoch 431/500: loss = 0.1427
Epoch 432/500: loss = 0.1488
Epoch 433/500: loss = 0.1438
Epoch 434/500: loss = 0.1435
Epoch 435/500: loss = 0.1503
Epoch 436/500: loss = 0.1599
Epoch 437/500: loss = 0.1690
Epoch 438/500: loss = 0.1569
Epoch 439/500: loss = 0.1582
Epoch 440/500: loss = 0.1578
  Eval → acc=0.833, f1=0.812, auc=0.938
Epoch 441/500: loss = 0.1593
Epoch 442/500: loss = 0.1496
Epoch 443/500: loss = 0.1424
Epoch 444/500: loss = 0.1454
Epoch 445/500: loss = 0.1406
Epoch 446/500: loss = 0.1445
Epoch 447/500: loss = 0.1388
Epoch 448/500: loss = 0.1404
Epoch 449/500: loss = 0.1442
Epoch 450/500: loss = 0.1452
  Eval → acc=0.889, f1=0.875, auc=0.957
Epoch 451/500: loss = 0.1415
Epoch 452/500: loss = 0.1395
Epoch 453/500: loss = 0.1365
Epoch 454/500: loss = 0.1366
Epoch 455/500: loss = 0.1393
Epoch 456/500: loss = 0.1382
Epoch 457/500: loss = 0.1457
Epoch 458/500: loss = 0.1567
Epoch 459/500: loss = 0.1440
Epoch 460/500: loss = 0.1379
  Eval → acc=0.889, f1=0.875, auc=0.972
Epoch 461/500: loss = 0.1460
Epoch 462/500: loss = 0.1459
Epoch 463/500: loss = 0.1442
Epoch 464/500: loss = 0.1458
Epoch 465/500: loss = 0.1360
Epoch 466/500: loss = 0.1343
Epoch 467/500: loss = 0.1465
Epoch 468/500: loss = 0.1411
Epoch 469/500: loss = 0.1382
Epoch 470/500: loss = 0.1437
  Eval → acc=0.861, f1=0.839, auc=0.951
Epoch 471/500: loss = 0.1397
Epoch 472/500: loss = 0.1403
Epoch 473/500: loss = 0.1359
Epoch 474/500: loss = 0.1378
Epoch 475/500: loss = 0.1408
Epoch 476/500: loss = 0.1354
Epoch 477/500: loss = 0.1400
Epoch 478/500: loss = 0.1383
Epoch 479/500: loss = 0.1338
Epoch 480/500: loss = 0.1294
  Eval → acc=0.889, f1=0.875, auc=0.960
Epoch 481/500: loss = 0.1354
Epoch 482/500: loss = 0.1336
Epoch 483/500: loss = 0.1301
Epoch 484/500: loss = 0.1309
Epoch 485/500: loss = 0.1274
Epoch 486/500: loss = 0.1292
Epoch 487/500: loss = 0.1297
Epoch 488/500: loss = 0.1312
Epoch 489/500: loss = 0.1314
Epoch 490/500: loss = 0.1496
  Eval → acc=0.833, f1=0.812, auc=0.926
Epoch 491/500: loss = 0.1434
Epoch 492/500: loss = 0.1418
Epoch 493/500: loss = 0.1341
Epoch 494/500: loss = 0.1313
Epoch 495/500: loss = 0.1320
Epoch 496/500: loss = 0.1291
Epoch 497/500: loss = 0.1345
Epoch 498/500: loss = 0.1373
Epoch 499/500: loss = 0.1321
Epoch 500/500: loss = 0.1501
  Eval → acc=0.889, f1=0.875, auc=0.957
Saved loss history to ./Results_16by16/lightningDevice_dataset250_epochs500/depth07/loss_history.csv

All test results saved in: ./Results_16by16/lightningDevice_dataset250_epochs500/depth07
Test metrics: {
  "accuracy": 0.7631578947368421,
  "precision": 0.7777777777777778,
  "recall": 0.7368421052631579,
  "f1_score": 0.7567567567567568,
  "auc": 0.8975069252077562,
  "training_time_sec": 78459.44882535934,
  "memory_usage_kb": 959232,
  "data_loading_time_sec": 78461.08223986626,
  "num_qubits": 9,
  "num_samples_test": 38,
  "num_layers": 7
}
