Loaded train=174, val=36, test=38
  Eval → acc=0.639, f1=0.649, auc=0.719
Epoch 111/500: loss = 0.5591
Epoch 112/500: loss = 0.5590
Epoch 113/500: loss = 0.5657
Epoch 114/500: loss = 0.5708
Epoch 115/500: loss = 0.5577
Epoch 116/500: loss = 0.5603
Epoch 117/500: loss = 0.5570
Epoch 118/500: loss = 0.5539
Epoch 119/500: loss = 0.5600
Epoch 120/500: loss = 0.5527
  Eval → acc=0.667, f1=0.667, auc=0.688
Epoch 121/500: loss = 0.5579
Epoch 122/500: loss = 0.5573
Epoch 123/500: loss = 0.5547
Epoch 124/500: loss = 0.5487
Epoch 125/500: loss = 0.5503
Epoch 126/500: loss = 0.5489
Epoch 127/500: loss = 0.5555
Epoch 128/500: loss = 0.5530
Epoch 129/500: loss = 0.5481
Epoch 130/500: loss = 0.5538
  Eval → acc=0.722, f1=0.706, auc=0.667
Epoch 131/500: loss = 0.5546
Epoch 132/500: loss = 0.5466
Epoch 133/500: loss = 0.5568
Epoch 134/500: loss = 0.5460
Epoch 135/500: loss = 0.5447
Epoch 136/500: loss = 0.5489
Epoch 137/500: loss = 0.5449
Epoch 138/500: loss = 0.5465
Epoch 139/500: loss = 0.5443
Epoch 140/500: loss = 0.5484
  Eval → acc=0.611, f1=0.650, auc=0.688
Epoch 141/500: loss = 0.5456
Epoch 142/500: loss = 0.5468
Epoch 143/500: loss = 0.5551
Epoch 144/500: loss = 0.5439
Epoch 145/500: loss = 0.5414
Epoch 146/500: loss = 0.5427
Epoch 147/500: loss = 0.5387
Epoch 148/500: loss = 0.5370
Epoch 149/500: loss = 0.5388
Epoch 150/500: loss = 0.5427
  Eval → acc=0.722, f1=0.722, auc=0.704
Epoch 151/500: loss = 0.5450
Epoch 152/500: loss = 0.5431
Epoch 153/500: loss = 0.5331
Epoch 154/500: loss = 0.5368
Epoch 155/500: loss = 0.5484
Epoch 156/500: loss = 0.5437
Epoch 157/500: loss = 0.5370
Epoch 158/500: loss = 0.5476
Epoch 159/500: loss = 0.5331
Epoch 160/500: loss = 0.5341
  Eval → acc=0.611, f1=0.588, auc=0.602
Epoch 161/500: loss = 0.5329
Epoch 162/500: loss = 0.5324
Epoch 163/500: loss = 0.5306
Epoch 164/500: loss = 0.5439
Epoch 165/500: loss = 0.5272
Epoch 166/500: loss = 0.5292
Epoch 167/500: loss = 0.5322
Epoch 168/500: loss = 0.5408
Epoch 169/500: loss = 0.5428
Epoch 170/500: loss = 0.5511
  Eval → acc=0.611, f1=0.632, auc=0.664
Epoch 171/500: loss = 0.5307
Epoch 172/500: loss = 0.5336
Epoch 173/500: loss = 0.5299
Epoch 174/500: loss = 0.5301
Epoch 175/500: loss = 0.5280
Epoch 176/500: loss = 0.5428
Epoch 177/500: loss = 0.5466
Epoch 178/500: loss = 0.5406
Epoch 179/500: loss = 0.5339
Epoch 180/500: loss = 0.5301
  Eval → acc=0.583, f1=0.571, auc=0.620
Epoch 181/500: loss = 0.5268
Epoch 182/500: loss = 0.5279
Epoch 183/500: loss = 0.5355
Epoch 184/500: loss = 0.5258
Epoch 185/500: loss = 0.5238
Epoch 186/500: loss = 0.5252
Epoch 187/500: loss = 0.5235
Epoch 188/500: loss = 0.5224
Epoch 189/500: loss = 0.5205
Epoch 190/500: loss = 0.5257
  Eval → acc=0.667, f1=0.667, auc=0.688
Epoch 191/500: loss = 0.5209
Epoch 192/500: loss = 0.5215
Epoch 193/500: loss = 0.5190
Epoch 194/500: loss = 0.5204
Epoch 195/500: loss = 0.5246
Epoch 196/500: loss = 0.5300
Epoch 197/500: loss = 0.5249
Epoch 198/500: loss = 0.5192
Epoch 199/500: loss = 0.5143
Epoch 200/500: loss = 0.5140
  Eval → acc=0.611, f1=0.611, auc=0.648
Epoch 201/500: loss = 0.5150
Epoch 202/500: loss = 0.5209
Epoch 203/500: loss = 0.5141
Epoch 204/500: loss = 0.5139
Epoch 205/500: loss = 0.5131
Epoch 206/500: loss = 0.5109
Epoch 207/500: loss = 0.5359
Epoch 208/500: loss = 0.5312
Epoch 209/500: loss = 0.5095
Epoch 210/500: loss = 0.5254
  Eval → acc=0.583, f1=0.615, auc=0.682
Epoch 211/500: loss = 0.5338
Epoch 212/500: loss = 0.5215
Epoch 213/500: loss = 0.5122
Epoch 214/500: loss = 0.5106
Epoch 215/500: loss = 0.5072
Epoch 216/500: loss = 0.5145
Epoch 217/500: loss = 0.5111
Epoch 218/500: loss = 0.5134
Epoch 219/500: loss = 0.5136
Epoch 220/500: loss = 0.5089
  Eval → acc=0.556, f1=0.579, auc=0.648
Epoch 221/500: loss = 0.5158
Epoch 222/500: loss = 0.5194
Epoch 223/500: loss = 0.5086
Epoch 224/500: loss = 0.5245
Epoch 225/500: loss = 0.5217
Epoch 226/500: loss = 0.5146
Epoch 227/500: loss = 0.5111
Epoch 228/500: loss = 0.5128
Epoch 229/500: loss = 0.5191
Epoch 230/500: loss = 0.5099
  Eval → acc=0.639, f1=0.649, auc=0.670
Epoch 231/500: loss = 0.5043
Epoch 232/500: loss = 0.5086
Epoch 233/500: loss = 0.5070
Epoch 234/500: loss = 0.5122
Epoch 235/500: loss = 0.5002
Epoch 236/500: loss = 0.5091
Epoch 237/500: loss = 0.4992
Epoch 238/500: loss = 0.5021
Epoch 239/500: loss = 0.4997
Epoch 240/500: loss = 0.4971
  Eval → acc=0.694, f1=0.686, auc=0.679
Epoch 241/500: loss = 0.4997
Epoch 242/500: loss = 0.5138
Epoch 243/500: loss = 0.5054
Epoch 244/500: loss = 0.5024
Epoch 245/500: loss = 0.5123
Epoch 246/500: loss = 0.5061
Epoch 247/500: loss = 0.5423
Epoch 248/500: loss = 0.5060
Epoch 249/500: loss = 0.5031
Epoch 250/500: loss = 0.5020
  Eval → acc=0.583, f1=0.615, auc=0.685
Epoch 251/500: loss = 0.4970
Epoch 252/500: loss = 0.5022
Epoch 253/500: loss = 0.4958
Epoch 254/500: loss = 0.4948
Epoch 255/500: loss = 0.4971
Epoch 256/500: loss = 0.4971
Epoch 257/500: loss = 0.5002
Epoch 258/500: loss = 0.5036
Epoch 259/500: loss = 0.5030
Epoch 260/500: loss = 0.5068
  Eval → acc=0.611, f1=0.611, auc=0.660
Epoch 261/500: loss = 0.5080
Epoch 262/500: loss = 0.4897
Epoch 263/500: loss = 0.5053
Epoch 264/500: loss = 0.4966
Epoch 265/500: loss = 0.5089
Epoch 266/500: loss = 0.5006
Epoch 267/500: loss = 0.4982
Epoch 268/500: loss = 0.5313
Epoch 269/500: loss = 0.5290
Epoch 270/500: loss = 0.4906
  Eval → acc=0.583, f1=0.615, auc=0.676
Epoch 271/500: loss = 0.5085
Epoch 272/500: loss = 0.4919
Epoch 273/500: loss = 0.4954
Epoch 274/500: loss = 0.4990
Epoch 275/500: loss = 0.5029
Epoch 276/500: loss = 0.4943
Epoch 277/500: loss = 0.4912
Epoch 278/500: loss = 0.4898
Epoch 279/500: loss = 0.4961
Epoch 280/500: loss = 0.5198
  Eval → acc=0.667, f1=0.684, auc=0.716
Epoch 281/500: loss = 0.5012
Epoch 282/500: loss = 0.5207
Epoch 283/500: loss = 0.5069
Epoch 284/500: loss = 0.4915
Epoch 285/500: loss = 0.4943
Epoch 286/500: loss = 0.4923
Epoch 287/500: loss = 0.4999
Epoch 288/500: loss = 0.5070
Epoch 289/500: loss = 0.5114
Epoch 290/500: loss = 0.4921
  Eval → acc=0.639, f1=0.649, auc=0.679
Epoch 291/500: loss = 0.4869
Epoch 292/500: loss = 0.4928
Epoch 293/500: loss = 0.4949
Epoch 294/500: loss = 0.5098
Epoch 295/500: loss = 0.4994
Epoch 296/500: loss = 0.5063
Epoch 297/500: loss = 0.4884
Epoch 298/500: loss = 0.4989
Epoch 299/500: loss = 0.4909
Epoch 300/500: loss = 0.4844
  Eval → acc=0.667, f1=0.684, auc=0.728
Epoch 301/500: loss = 0.4843
Epoch 302/500: loss = 0.4894
Epoch 303/500: loss = 0.4783
Epoch 304/500: loss = 0.5059
Epoch 305/500: loss = 0.4806
Epoch 306/500: loss = 0.5091
Epoch 307/500: loss = 0.4847
Epoch 308/500: loss = 0.4867
Epoch 309/500: loss = 0.4977
Epoch 310/500: loss = 0.4863
  Eval → acc=0.667, f1=0.667, auc=0.682
Epoch 311/500: loss = 0.4845
Epoch 312/500: loss = 0.4835
Epoch 313/500: loss = 0.4877
Epoch 314/500: loss = 0.4844
Epoch 315/500: loss = 0.4766
Epoch 316/500: loss = 0.4803
Epoch 317/500: loss = 0.4824
Epoch 318/500: loss = 0.4860
Epoch 319/500: loss = 0.4778
Epoch 320/500: loss = 0.4845
  Eval → acc=0.639, f1=0.629, auc=0.682
Epoch 321/500: loss = 0.4847
Epoch 322/500: loss = 0.5127
Epoch 323/500: loss = 0.5105
Epoch 324/500: loss = 0.4941
Epoch 325/500: loss = 0.4924
Epoch 326/500: loss = 0.4929
Epoch 327/500: loss = 0.4841
Epoch 328/500: loss = 0.4707
Epoch 329/500: loss = 0.4835
Epoch 330/500: loss = 0.4831
  Eval → acc=0.667, f1=0.684, auc=0.716
Epoch 331/500: loss = 0.4879
Epoch 332/500: loss = 0.4864
Epoch 333/500: loss = 0.4938
Epoch 334/500: loss = 0.4823
Epoch 335/500: loss = 0.4997
Epoch 336/500: loss = 0.4869
Epoch 337/500: loss = 0.4841
Epoch 338/500: loss = 0.4737
Epoch 339/500: loss = 0.4820
Epoch 340/500: loss = 0.4732
  Eval → acc=0.639, f1=0.649, auc=0.710
Epoch 341/500: loss = 0.4717
Epoch 342/500: loss = 0.4842
Epoch 343/500: loss = 0.4819
Epoch 344/500: loss = 0.4805
Epoch 345/500: loss = 0.4867
Epoch 346/500: loss = 0.4712
Epoch 347/500: loss = 0.4773
Epoch 348/500: loss = 0.4763
Epoch 349/500: loss = 0.4700
Epoch 350/500: loss = 0.4939
  Eval → acc=0.667, f1=0.667, auc=0.713
Epoch 351/500: loss = 0.4756
Epoch 352/500: loss = 0.4871
Epoch 353/500: loss = 0.4775
Epoch 354/500: loss = 0.4931
Epoch 355/500: loss = 0.4928
Epoch 356/500: loss = 0.4882
Epoch 357/500: loss = 0.4854
Epoch 358/500: loss = 0.4700
Epoch 359/500: loss = 0.4780
Epoch 360/500: loss = 0.4669
  Eval → acc=0.639, f1=0.649, auc=0.710
Epoch 361/500: loss = 0.4717
Epoch 362/500: loss = 0.4733
Epoch 363/500: loss = 0.4706
Epoch 364/500: loss = 0.4665
Epoch 365/500: loss = 0.4684
Epoch 366/500: loss = 0.4732
Epoch 367/500: loss = 0.4919
Epoch 368/500: loss = 0.4847
Epoch 369/500: loss = 0.4938
Epoch 370/500: loss = 0.4667
  Eval → acc=0.667, f1=0.667, auc=0.682
Epoch 371/500: loss = 0.4906
Epoch 372/500: loss = 0.4884
Epoch 373/500: loss = 0.4700
Epoch 374/500: loss = 0.4723
Epoch 375/500: loss = 0.4658
Epoch 376/500: loss = 0.4683
Epoch 377/500: loss = 0.4767
Epoch 378/500: loss = 0.4706
Epoch 379/500: loss = 0.4686
Epoch 380/500: loss = 0.4858
  Eval → acc=0.694, f1=0.703, auc=0.725
Epoch 381/500: loss = 0.4561
Epoch 382/500: loss = 0.4700
Epoch 383/500: loss = 0.4634
Epoch 384/500: loss = 0.4662
Epoch 385/500: loss = 0.4611
Epoch 386/500: loss = 0.4652
Epoch 387/500: loss = 0.4678
Epoch 388/500: loss = 0.4693
Epoch 389/500: loss = 0.4739
Epoch 390/500: loss = 0.4701
  Eval → acc=0.694, f1=0.703, auc=0.741
Epoch 391/500: loss = 0.4668
Epoch 392/500: loss = 0.5090
Epoch 393/500: loss = 0.4613
Epoch 394/500: loss = 0.4781
Epoch 395/500: loss = 0.4682
Epoch 396/500: loss = 0.4888
Epoch 397/500: loss = 0.4618
Epoch 398/500: loss = 0.4650
Epoch 399/500: loss = 0.4648
Epoch 400/500: loss = 0.4595
  Eval → acc=0.694, f1=0.703, auc=0.744
Epoch 401/500: loss = 0.4561
Epoch 402/500: loss = 0.4753
Epoch 403/500: loss = 0.4614
Epoch 404/500: loss = 0.4785
Epoch 405/500: loss = 0.4645
Epoch 406/500: loss = 0.4624
Epoch 407/500: loss = 0.4721
Epoch 408/500: loss = 0.4632
Epoch 409/500: loss = 0.4738
Epoch 410/500: loss = 0.4655
  Eval → acc=0.611, f1=0.650, auc=0.728
Epoch 411/500: loss = 0.4687
Epoch 412/500: loss = 0.4630
Epoch 413/500: loss = 0.4679
Epoch 414/500: loss = 0.4920
Epoch 415/500: loss = 0.4709
Epoch 416/500: loss = 0.4626
Epoch 417/500: loss = 0.4658
Epoch 418/500: loss = 0.4615
Epoch 419/500: loss = 0.4576
Epoch 420/500: loss = 0.4526
  Eval → acc=0.639, f1=0.667, auc=0.744
Epoch 421/500: loss = 0.4741
Epoch 422/500: loss = 0.4571
Epoch 423/500: loss = 0.4627
Epoch 424/500: loss = 0.4527
Epoch 425/500: loss = 0.4814
Epoch 426/500: loss = 0.4861
Epoch 427/500: loss = 0.4814
Epoch 428/500: loss = 0.4739
Epoch 429/500: loss = 0.4925
Epoch 430/500: loss = 0.4730
  Eval → acc=0.583, f1=0.615, auc=0.719
Epoch 431/500: loss = 0.4598
Epoch 432/500: loss = 0.4554
Epoch 433/500: loss = 0.4590
Epoch 434/500: loss = 0.4553
Epoch 435/500: loss = 0.4522
Epoch 436/500: loss = 0.4500
Epoch 437/500: loss = 0.4596
Epoch 438/500: loss = 0.4950
Epoch 439/500: loss = 0.4737
Epoch 440/500: loss = 0.4683
  Eval → acc=0.722, f1=0.706, auc=0.694
Epoch 441/500: loss = 0.4542
Epoch 442/500: loss = 0.4623
Epoch 443/500: loss = 0.4597
Epoch 444/500: loss = 0.4665
Epoch 445/500: loss = 0.4707
Epoch 446/500: loss = 0.4746
Epoch 447/500: loss = 0.4462
Epoch 448/500: loss = 0.4631
Epoch 449/500: loss = 0.4459
Epoch 450/500: loss = 0.4519
  Eval → acc=0.639, f1=0.629, auc=0.691
Epoch 451/500: loss = 0.4503
Epoch 452/500: loss = 0.4458
Epoch 453/500: loss = 0.4574
Epoch 454/500: loss = 0.4607
Epoch 455/500: loss = 0.4736
Epoch 456/500: loss = 0.4555
Epoch 457/500: loss = 0.4491
Epoch 458/500: loss = 0.4588
Epoch 459/500: loss = 0.4601
Epoch 460/500: loss = 0.4607
  Eval → acc=0.722, f1=0.722, auc=0.738
Epoch 461/500: loss = 0.4676
Epoch 462/500: loss = 0.4546
Epoch 463/500: loss = 0.4447
Epoch 464/500: loss = 0.4400
Epoch 465/500: loss = 0.4454
Epoch 466/500: loss = 0.4499
Epoch 467/500: loss = 0.4580
Epoch 468/500: loss = 0.4448
Epoch 469/500: loss = 0.4441
Epoch 470/500: loss = 0.4386
  Eval → acc=0.694, f1=0.703, auc=0.731
Epoch 471/500: loss = 0.4576
Epoch 472/500: loss = 0.4613
Epoch 473/500: loss = 0.4647
Epoch 474/500: loss = 0.4452
Epoch 475/500: loss = 0.4625
Epoch 476/500: loss = 0.4795
Epoch 477/500: loss = 0.4630
Epoch 478/500: loss = 0.4508
Epoch 479/500: loss = 0.4513
Epoch 480/500: loss = 0.4474
  Eval → acc=0.667, f1=0.667, auc=0.719
Epoch 481/500: loss = 0.4486
Epoch 482/500: loss = 0.4392
Epoch 483/500: loss = 0.4511
Epoch 484/500: loss = 0.4622
Epoch 485/500: loss = 0.4588
Epoch 486/500: loss = 0.4513
Epoch 487/500: loss = 0.4611
Epoch 488/500: loss = 0.4647
Epoch 489/500: loss = 0.4540
Epoch 490/500: loss = 0.4536
  Eval → acc=0.611, f1=0.611, auc=0.688
Epoch 491/500: loss = 0.4394
Epoch 492/500: loss = 0.4421
Epoch 493/500: loss = 0.4551
Epoch 494/500: loss = 0.4647
Epoch 495/500: loss = 0.4732
Epoch 496/500: loss = 0.4659
Epoch 497/500: loss = 0.4522
Epoch 498/500: loss = 0.4722
Epoch 499/500: loss = 0.4573
Epoch 500/500: loss = 0.4453
  Eval → acc=0.694, f1=0.703, auc=0.728
Saved loss history to ./Results_08by08/lightningDevice_dataset250_epochs500/depth07/loss_history.csv

All test results saved in: ./Results_08by08/lightningDevice_dataset250_epochs500/depth07
Test metrics: {
  "accuracy": 0.5789473684210527,
  "precision": 0.5714285714285714,
  "recall": 0.631578947368421,
  "f1_score": 0.6,
  "auc": 0.6869806094182825,
  "training_time_sec": 66386.2700073719,
  "memory_usage_kb": 956296,
  "data_loading_time_sec": 66387.87024235725,
  "num_qubits": 7,
  "num_samples_test": 38,
  "num_layers": 7
}
