
>>> Config 1/72: run_0_ly3_lr0.001_bs16
    Epoch 100/1000 - Loss: 0.692013
    Epoch 200/1000 - Loss: 0.692813
    Epoch 300/1000 - Loss: 0.692162
    Epoch 400/1000 - Loss: 0.689545
    Epoch 500/1000 - Loss: 0.687369
    Epoch 600/1000 - Loss: 0.679390
    Epoch 700/1000 - Loss: 0.668440
    Epoch 800/1000 - Loss: 0.661957
    Epoch 900/1000 - Loss: 0.659320
    Epoch 1000/1000 - Loss: 0.657720

>>> Config 24/72: run_23_ly5_lr0.1_bs64
    Epoch 100/1000 - Loss: 0.693319
    Epoch 200/1000 - Loss: 0.693532
    Epoch 300/1000 - Loss: 0.688805
    Epoch 400/1000 - Loss: 0.681592
    Epoch 500/1000 - Loss: 0.674991
    Epoch 600/1000 - Loss: 0.665483
    Epoch 700/1000 - Loss: 0.663319
    Epoch 800/1000 - Loss: 0.657017
    Epoch 900/1000 - Loss: 0.655637
    Epoch 1000/1000 - Loss: 0.655278

>>> Config 25/72: run_24_ly7_lr0.001_bs16
    Epoch 100/1000 - Loss: 0.692622
    Epoch 200/1000 - Loss: 0.692042
    Epoch 300/1000 - Loss: 0.691503
    Epoch 400/1000 - Loss: 0.691055
    Epoch 500/1000 - Loss: 0.690673
    Epoch 600/1000 - Loss: 0.690403
    Epoch 700/1000 - Loss: 0.690224
    Epoch 800/1000 - Loss: 0.690131
    Epoch 900/1000 - Loss: 0.690065
    Epoch 1000/1000 - Loss: 0.690041

>>> Config 26/72: run_25_ly7_lr0.001_bs32
    Epoch 100/1000 - Loss: 0.692815
    Epoch 200/1000 - Loss: 0.692428
    Epoch 300/1000 - Loss: 0.692074
    Epoch 400/1000 - Loss: 0.691776
    Epoch 500/1000 - Loss: 0.691547
    Epoch 600/1000 - Loss: 0.691358
    Epoch 700/1000 - Loss: 0.691243
    Epoch 800/1000 - Loss: 0.691179
    Epoch 900/1000 - Loss: 0.691165
    Epoch 1000/1000 - Loss: 0.691153

>>> Config 27/72: run_26_ly7_lr0.001_bs64
    Epoch 100/1000 - Loss: 0.692931
    Epoch 200/1000 - Loss: 0.692679
    Epoch 300/1000 - Loss: 0.692451
    Epoch 400/1000 - Loss: 0.692260
    Epoch 500/1000 - Loss: 0.692107
    Epoch 600/1000 - Loss: 0.691999
    Epoch 700/1000 - Loss: 0.691917
    Epoch 800/1000 - Loss: 0.691883
    Epoch 900/1000 - Loss: 0.691872
    Epoch 1000/1000 - Loss: 0.691857

>>> Config 28/72: run_27_ly7_lr0.01_bs16
    Epoch 100/1000 - Loss: 0.687762
    Epoch 200/1000 - Loss: 0.682512
    Epoch 300/1000 - Loss: 0.677772
    Epoch 400/1000 - Loss: 0.674262
    Epoch 500/1000 - Loss: 0.670765
    Epoch 600/1000 - Loss: 0.668073
    Epoch 700/1000 - Loss: 0.666359
    Epoch 800/1000 - Loss: 0.664916
    Epoch 900/1000 - Loss: 0.664583
    Epoch 1000/1000 - Loss: 0.664424

>>> Config 29/72: run_28_ly7_lr0.01_bs32
    Epoch 100/1000 - Loss: 0.689576
    Epoch 200/1000 - Loss: 0.686138
    Epoch 300/1000 - Loss: 0.682681
    Epoch 400/1000 - Loss: 0.679616
    Epoch 500/1000 - Loss: 0.677352
    Epoch 600/1000 - Loss: 0.676048
    Epoch 700/1000 - Loss: 0.675016
    Epoch 800/1000 - Loss: 0.674323
    Epoch 900/1000 - Loss: 0.673818
    Epoch 1000/1000 - Loss: 0.673634

>>> Config 30/72: run_29_ly7_lr0.01_bs64
    Epoch 100/1000 - Loss: 0.690633
    Epoch 200/1000 - Loss: 0.688123
    Epoch 300/1000 - Loss: 0.685858
    Epoch 400/1000 - Loss: 0.683856
    Epoch 500/1000 - Loss: 0.682560
    Epoch 600/1000 - Loss: 0.681368
    Epoch 700/1000 - Loss: 0.680420
    Epoch 800/1000 - Loss: 0.679938
    Epoch 900/1000 - Loss: 0.679691
    Epoch 1000/1000 - Loss: 0.679772

>>> Config 31/72: run_30_ly7_lr0.05_bs16
    Epoch 100/1000 - Loss: 0.693215
    Epoch 200/1000 - Loss: 0.693521
    Epoch 300/1000 - Loss: 0.693517
    Epoch 400/1000 - Loss: 0.693400
    Epoch 500/1000 - Loss: 0.689854
    Epoch 600/1000 - Loss: 0.683918
    Epoch 700/1000 - Loss: 0.673966
    Epoch 800/1000 - Loss: 0.668773
    Epoch 900/1000 - Loss: 0.666307
    Epoch 1000/1000 - Loss: 0.665630

>>> Config 32/72: run_31_ly7_lr0.05_bs32
    Epoch 100/1000 - Loss: 0.693367
    Epoch 200/1000 - Loss: 0.692937
    Epoch 300/1000 - Loss: 0.691050
    Epoch 400/1000 - Loss: 0.693964
    Epoch 500/1000 - Loss: 0.678113
    Epoch 600/1000 - Loss: 0.669436
    Epoch 700/1000 - Loss: 0.664709
    Epoch 800/1000 - Loss: 0.659938
    Epoch 900/1000 - Loss: 0.658280
    Epoch 1000/1000 - Loss: 0.657604

>>> Config 33/72: run_32_ly7_lr0.05_bs64
    Epoch 100/1000 - Loss: 0.691823
    Epoch 200/1000 - Loss: 0.689645
    Epoch 300/1000 - Loss: 0.682411
    Epoch 400/1000 - Loss: 0.681839
    Epoch 500/1000 - Loss: 0.671418
    Epoch 600/1000 - Loss: 0.661829
    Epoch 700/1000 - Loss: 0.657314
    Epoch 800/1000 - Loss: 0.655591
    Epoch 900/1000 - Loss: 0.654761
    Epoch 1000/1000 - Loss: 0.654701

>>> Config 34/72: run_33_ly7_lr0.1_bs16
    Epoch 100/1000 - Loss: 0.693441
    Epoch 200/1000 - Loss: 0.692999
    Epoch 300/1000 - Loss: 0.693133
    Epoch 400/1000 - Loss: 0.693534
    Epoch 500/1000 - Loss: 0.692922
    Epoch 600/1000 - Loss: 0.693749
    Epoch 700/1000 - Loss: 0.686699
    Epoch 800/1000 - Loss: 0.677338
    Epoch 900/1000 - Loss: 0.673430
    Epoch 1000/1000 - Loss: 0.672338

>>> Config 35/72: run_34_ly7_lr0.1_bs32
    Epoch 100/1000 - Loss: 0.693183
    Epoch 200/1000 - Loss: 0.693085
    Epoch 300/1000 - Loss: 0.693098
    Epoch 400/1000 - Loss: 0.692751
    Epoch 500/1000 - Loss: 0.691356
    Epoch 600/1000 - Loss: 0.692243
    Epoch 700/1000 - Loss: 0.679114
    Epoch 800/1000 - Loss: 0.674438
    Epoch 900/1000 - Loss: 0.670157
    Epoch 1000/1000 - Loss: 0.669470

>>> Config 36/72: run_35_ly7_lr0.1_bs64
    Epoch 100/1000 - Loss: 0.693248
    Epoch 200/1000 - Loss: 0.693110
    Epoch 300/1000 - Loss: 0.692987
    Epoch 400/1000 - Loss: 0.694111
    Epoch 500/1000 - Loss: 0.693277
    Epoch 600/1000 - Loss: 0.684320
    Epoch 700/1000 - Loss: 0.677842
    Epoch 800/1000 - Loss: 0.672815
    Epoch 900/1000 - Loss: 0.670674
    Epoch 1000/1000 - Loss: 0.670132

>>> Config 37/72: run_36_ly10_lr0.001_bs16
    Epoch 100/1000 - Loss: 0.692449
    Epoch 200/1000 - Loss: 0.691646
    Epoch 300/1000 - Loss: 0.690892
    Epoch 400/1000 - Loss: 0.690203
    Epoch 500/1000 - Loss: 0.689667
    Epoch 600/1000 - Loss: 0.689290
    Epoch 700/1000 - Loss: 0.689020
    Epoch 800/1000 - Loss: 0.688855
    Epoch 900/1000 - Loss: 0.688796
    Epoch 1000/1000 - Loss: 0.688789

>>> Config 38/72: run_37_ly10_lr0.001_bs32
    Epoch 100/1000 - Loss: 0.692712
    Epoch 200/1000 - Loss: 0.692227
    Epoch 300/1000 - Loss: 0.691782
    Epoch 400/1000 - Loss: 0.691362
    Epoch 500/1000 - Loss: 0.691061
    Epoch 600/1000 - Loss: 0.690813
    Epoch 700/1000 - Loss: 0.690654
    Epoch 800/1000 - Loss: 0.690573
    Epoch 900/1000 - Loss: 0.690518
    Epoch 1000/1000 - Loss: 0.690506

>>> Config 39/72: run_38_ly10_lr0.001_bs64
    Epoch 100/1000 - Loss: 0.692860
    Epoch 200/1000 - Loss: 0.692525
    Epoch 300/1000 - Loss: 0.692203
    Epoch 400/1000 - Loss: 0.691933
    Epoch 500/1000 - Loss: 0.691708
    Epoch 600/1000 - Loss: 0.691571
    Epoch 700/1000 - Loss: 0.691456
    Epoch 800/1000 - Loss: 0.691419
    Epoch 900/1000 - Loss: 0.691394
    Epoch 1000/1000 - Loss: 0.691386

