num_layers,lr,batch_size,opt_name,img_size,test_accuracy,epochs_run,folder
3,0.01,64,adam,64,0.43506493506493504,235,run_78_adam_ly3_lr0.01_bs64
3,0.01,64,sgd,64,0.461038961038961,51,run_79_sgd_ly3_lr0.01_bs64
3,0.02,8,adam,64,0.4805194805194805,147,run_80_adam_ly3_lr0.02_bs8
3,0.02,8,sgd,64,0.4675324675324675,51,run_81_sgd_ly3_lr0.02_bs8
3,0.02,16,adam,64,0.538961038961039,292,run_82_adam_ly3_lr0.02_bs16
3,0.02,16,sgd,64,0.461038961038961,51,run_83_sgd_ly3_lr0.02_bs16
3,0.02,32,adam,64,0.474025974025974,239,run_84_adam_ly3_lr0.02_bs32
3,0.02,32,sgd,64,0.4675324675324675,51,run_85_sgd_ly3_lr0.02_bs32
3,0.02,64,adam,64,0.487012987012987,171,run_86_adam_ly3_lr0.02_bs64
3,0.02,64,sgd,64,0.4675324675324675,51,run_87_sgd_ly3_lr0.02_bs64
3,0.05,8,adam,64,0.5324675324675324,151,run_88_adam_ly3_lr0.05_bs8
3,0.05,8,sgd,64,0.4675324675324675,51,run_89_sgd_ly3_lr0.05_bs8
3,0.05,16,adam,64,0.4090909090909091,172,run_90_adam_ly3_lr0.05_bs16
3,0.05,16,sgd,64,0.461038961038961,51,run_91_sgd_ly3_lr0.05_bs16
3,0.05,32,adam,64,0.4935064935064935,145,run_92_adam_ly3_lr0.05_bs32
3,0.05,32,sgd,64,0.461038961038961,51,run_93_sgd_ly3_lr0.05_bs32
3,0.05,64,adam,64,0.4935064935064935,206,run_94_adam_ly3_lr0.05_bs64
3,0.05,64,sgd,64,0.461038961038961,51,run_95_sgd_ly3_lr0.05_bs64
5,0.001,8,adam,64,0.5324675324675324,190,run_96_adam_ly5_lr0.001_bs8
5,0.001,8,sgd,64,0.4805194805194805,51,run_97_sgd_ly5_lr0.001_bs8
5,0.001,16,adam,64,0.5454545454545454,521,run_98_adam_ly5_lr0.001_bs16
5,0.001,16,sgd,64,0.4805194805194805,51,run_99_sgd_ly5_lr0.001_bs16
5,0.001,32,adam,64,0.538961038961039,1124,run_100_adam_ly5_lr0.001_bs32
5,0.001,32,sgd,64,0.4805194805194805,51,run_101_sgd_ly5_lr0.001_bs32
5,0.001,64,adam,64,0.5584415584415584,937,run_102_adam_ly5_lr0.001_bs64
5,0.001,64,sgd,64,0.4805194805194805,51,run_103_sgd_ly5_lr0.001_bs64
