
>>> Config 1/19: run_0_ly2_lr0.05_bs32
    Epoch 2700/3000 - Loss: 0.347170
    Epoch 2800/3000 - Loss: 0.347137
    Epoch 2900/3000 - Loss: 0.347100
    Epoch 3000/3000 - Loss: 0.347093

>>> Config 7/19: run_6_ly8_lr0.05_bs32
    Epoch 100/3000 - Loss: 0.395647
    Epoch 200/3000 - Loss: 0.357241
    Epoch 300/3000 - Loss: 0.357008
    Epoch 400/3000 - Loss: 0.367364
    Epoch 500/3000 - Loss: 0.349491
    Epoch 600/3000 - Loss: 0.348518
    Epoch 700/3000 - Loss: 0.350518
    Epoch 800/3000 - Loss: 0.347852
    Epoch 900/3000 - Loss: 0.349595
    Epoch 1000/3000 - Loss: 0.348146
    Epoch 1100/3000 - Loss: 0.348311
    Epoch 1200/3000 - Loss: 0.412076
    Epoch 1300/3000 - Loss: 0.347493
    Epoch 1400/3000 - Loss: 0.367274
    Epoch 1500/3000 - Loss: 0.347628
    Epoch 1600/3000 - Loss: 0.347481
    Epoch 1700/3000 - Loss: 0.448610
    Epoch 1800/3000 - Loss: 0.347427
    Epoch 1900/3000 - Loss: 0.347211
    Epoch 2000/3000 - Loss: 0.347148
    Epoch 2100/3000 - Loss: 0.347246
    Epoch 2200/3000 - Loss: 0.347050
    Epoch 2300/3000 - Loss: 0.346810
    Epoch 2400/3000 - Loss: 0.346951
    Epoch 2500/3000 - Loss: 0.346733
    Epoch 2600/3000 - Loss: 0.346688
    Epoch 2700/3000 - Loss: 0.346791
    Epoch 2800/3000 - Loss: 0.346694
    Epoch 2900/3000 - Loss: 0.346667
    Epoch 3000/3000 - Loss: 0.346657

>>> Config 8/19: run_7_ly9_lr0.05_bs32
    Epoch 100/3000 - Loss: 0.676931
    Epoch 200/3000 - Loss: 0.676477
    Epoch 300/3000 - Loss: 0.667801
    Epoch 400/3000 - Loss: 0.665136
    Epoch 500/3000 - Loss: 0.667099
    Epoch 600/3000 - Loss: 0.664491
    Epoch 700/3000 - Loss: 0.660296
    Epoch 800/3000 - Loss: 0.691944
    Epoch 900/3000 - Loss: 0.660591
    Epoch 1000/3000 - Loss: 0.651733
    Epoch 1100/3000 - Loss: 0.651428
    Epoch 1200/3000 - Loss: 0.646072
    Epoch 1300/3000 - Loss: 0.647340
    Epoch 1400/3000 - Loss: 0.653086
    Epoch 1500/3000 - Loss: 0.644403
    Epoch 1600/3000 - Loss: 0.640159
    Epoch 1700/3000 - Loss: 0.634072
    Epoch 1800/3000 - Loss: 0.632015
    Epoch 1900/3000 - Loss: 0.626985
    Epoch 2000/3000 - Loss: 0.627631
    Epoch 2100/3000 - Loss: 0.629244
    Epoch 2200/3000 - Loss: 0.622868
    Epoch 2300/3000 - Loss: 0.620497
    Epoch 2400/3000 - Loss: 0.617785
    Epoch 2500/3000 - Loss: 0.616270
    Epoch 2600/3000 - Loss: 0.614181
    Epoch 2700/3000 - Loss: 0.612864
    Epoch 2800/3000 - Loss: 0.612085
    Epoch 2900/3000 - Loss: 0.611678
    Epoch 3000/3000 - Loss: 0.611375

>>> Config 9/19: run_8_ly10_lr0.05_bs32
    Epoch 100/3000 - Loss: 0.356005
    Epoch 200/3000 - Loss: 0.349058
    Epoch 300/3000 - Loss: 0.347797
    Epoch 400/3000 - Loss: 0.347369
    Epoch 500/3000 - Loss: 0.347235
    Epoch 600/3000 - Loss: 0.346793
    Epoch 700/3000 - Loss: 0.346675
    Epoch 800/3000 - Loss: 0.346626
    Epoch 900/3000 - Loss: 0.346599
    Epoch 1000/3000 - Loss: 0.346587
    Epoch 1100/3000 - Loss: 0.346580
    Epoch 1200/3000 - Loss: 0.346576
    Epoch 1300/3000 - Loss: 0.346575
    Epoch 1400/3000 - Loss: 0.346574
    Epoch 1500/3000 - Loss: 0.346574
    Epoch 1600/3000 - Loss: 0.346574
    Epoch 1700/3000 - Loss: 0.346574
    Epoch 1800/3000 - Loss: 0.346574
    Epoch 1900/3000 - Loss: 0.346574
    Epoch 2000/3000 - Loss: 0.346574
    Epoch 2100/3000 - Loss: 0.346574
    Epoch 2200/3000 - Loss: 0.346583
    Epoch 2300/3000 - Loss: 0.346578
    Epoch 2400/3000 - Loss: 0.346576
    Epoch 2500/3000 - Loss: 0.346575
    Epoch 2600/3000 - Loss: 0.346575
    Epoch 2700/3000 - Loss: 0.346575
    Epoch 2800/3000 - Loss: 0.346574
    Epoch 2900/3000 - Loss: 0.346574
    Epoch 3000/3000 - Loss: 0.346574

>>> Config 10/19: run_9_ly11_lr0.05_bs32
    Epoch 100/3000 - Loss: 0.366013
    Epoch 200/3000 - Loss: 0.355398
    Epoch 300/3000 - Loss: 0.349462
    Epoch 400/3000 - Loss: 0.348111
    Epoch 500/3000 - Loss: 0.347279
    Epoch 600/3000 - Loss: 0.346940
    Epoch 700/3000 - Loss: 0.346802
    Epoch 800/3000 - Loss: 0.346652
    Epoch 900/3000 - Loss: 0.346801
    Epoch 1000/3000 - Loss: 0.346698
    Epoch 1100/3000 - Loss: 0.346657
    Epoch 1200/3000 - Loss: 0.346634
    Epoch 1300/3000 - Loss: 0.346615
    Epoch 1400/3000 - Loss: 0.346598
    Epoch 1500/3000 - Loss: 0.346588
    Epoch 1600/3000 - Loss: 0.346582
    Epoch 1700/3000 - Loss: 0.346578
    Epoch 1800/3000 - Loss: 0.346576
    Epoch 1900/3000 - Loss: 0.346624
    Epoch 2000/3000 - Loss: 0.346603
    Epoch 2100/3000 - Loss: 0.346592
    Epoch 2200/3000 - Loss: 0.346587
    Epoch 2300/3000 - Loss: 0.346582
    Epoch 2400/3000 - Loss: 0.346579
    Epoch 2500/3000 - Loss: 0.346578
    Epoch 2600/3000 - Loss: 0.346576
    Epoch 2700/3000 - Loss: 0.346576
    Epoch 2800/3000 - Loss: 0.346575
    Epoch 2900/3000 - Loss: 0.346575
    Epoch 3000/3000 - Loss: 0.346575

>>> Config 11/19: run_10_ly12_lr0.05_bs32
    Epoch 100/3000 - Loss: 0.677620
    Epoch 200/3000 - Loss: 0.675196
    Epoch 300/3000 - Loss: 0.658903
    Epoch 400/3000 - Loss: 0.662091
    Epoch 500/3000 - Loss: 0.660001
    Epoch 600/3000 - Loss: 0.682615
    Epoch 700/3000 - Loss: 0.662581
    Epoch 800/3000 - Loss: 0.658755
    Epoch 900/3000 - Loss: 0.649235
    Epoch 1000/3000 - Loss: 0.665454
    Epoch 1100/3000 - Loss: 0.641527
    Epoch 1200/3000 - Loss: 0.640428
    Epoch 1300/3000 - Loss: 0.633752
    Epoch 1400/3000 - Loss: 0.644770
    Epoch 1500/3000 - Loss: 0.621275
    Epoch 1600/3000 - Loss: 0.622175
    Epoch 1700/3000 - Loss: 0.618359
    Epoch 1800/3000 - Loss: 0.608247
    Epoch 1900/3000 - Loss: 0.606907
    Epoch 2000/3000 - Loss: 0.599111
    Epoch 2100/3000 - Loss: 0.597262
    Epoch 2200/3000 - Loss: 0.595664
    Epoch 2300/3000 - Loss: 0.585690
    Epoch 2400/3000 - Loss: 0.580827
    Epoch 2500/3000 - Loss: 0.576512
    Epoch 2600/3000 - Loss: 0.575113
    Epoch 2700/3000 - Loss: 0.573242
    Epoch 2800/3000 - Loss: 0.570676
    Epoch 2900/3000 - Loss: 0.569881
    Epoch 3000/3000 - Loss: 0.569371

>>> Config 12/19: run_11_ly13_lr0.05_bs32
    Epoch 100/3000 - Loss: 0.437783
    Epoch 200/3000 - Loss: 0.382137
    Epoch 300/3000 - Loss: 0.408805
    Epoch 400/3000 - Loss: 0.406663
    Epoch 500/3000 - Loss: 0.355551
    Epoch 600/3000 - Loss: 0.354084
    Epoch 700/3000 - Loss: 0.407893
    Epoch 800/3000 - Loss: 0.351585
    Epoch 900/3000 - Loss: 0.349804
    Epoch 1000/3000 - Loss: 0.350336
    Epoch 1100/3000 - Loss: 0.349311
    Epoch 1200/3000 - Loss: 0.351126
    Epoch 1300/3000 - Loss: 0.350837
    Epoch 1400/3000 - Loss: 0.348532
    Epoch 1500/3000 - Loss: 0.349493
    Epoch 1600/3000 - Loss: 0.348843
    Epoch 1700/3000 - Loss: 0.348311
    Epoch 1800/3000 - Loss: 0.348666
    Epoch 1900/3000 - Loss: 0.348089
    Epoch 2000/3000 - Loss: 0.349531
    Epoch 2100/3000 - Loss: 0.348373
    Epoch 2200/3000 - Loss: 0.348834
    Epoch 2300/3000 - Loss: 0.347939
    Epoch 2400/3000 - Loss: 0.347742
    Epoch 2500/3000 - Loss: 0.347746
    Epoch 2600/3000 - Loss: 0.347452
    Epoch 2700/3000 - Loss: 0.347289
    Epoch 2800/3000 - Loss: 0.347165
    Epoch 2900/3000 - Loss: 0.347174
    Epoch 3000/3000 - Loss: 0.347094

>>> Config 13/19: run_12_ly14_lr0.05_bs32
    Epoch 100/3000 - Loss: 0.368691
    Epoch 200/3000 - Loss: 0.353521
    Epoch 300/3000 - Loss: 0.349245
    Epoch 400/3000 - Loss: 0.349210
    Epoch 500/3000 - Loss: 0.347765
    Epoch 600/3000 - Loss: 0.347238
    Epoch 700/3000 - Loss: 0.346922
    Epoch 800/3000 - Loss: 0.346754
    Epoch 900/3000 - Loss: 0.346661
    Epoch 1000/3000 - Loss: 0.346802
    Epoch 1100/3000 - Loss: 0.346702
    Epoch 1200/3000 - Loss: 0.346666
    Epoch 1300/3000 - Loss: 0.346632
    Epoch 1400/3000 - Loss: 0.346610
    Epoch 1500/3000 - Loss: 0.346598
    Epoch 1600/3000 - Loss: 0.346588
    Epoch 1700/3000 - Loss: 0.346582
    Epoch 1800/3000 - Loss: 0.346578
    Epoch 1900/3000 - Loss: 0.346576
    Epoch 2000/3000 - Loss: 0.346575
    Epoch 2100/3000 - Loss: 0.346696
    Epoch 2200/3000 - Loss: 0.346612
    Epoch 2300/3000 - Loss: 0.346598
    Epoch 2400/3000 - Loss: 0.346590
    Epoch 2500/3000 - Loss: 0.346585
    Epoch 2600/3000 - Loss: 0.346581
    Epoch 2700/3000 - Loss: 0.346580
    Epoch 2800/3000 - Loss: 0.346578
    Epoch 2900/3000 - Loss: 0.346577
    Epoch 3000/3000 - Loss: 0.346576

>>> Config 14/19: run_13_ly15_lr0.05_bs32
    Epoch 100/3000 - Loss: 0.500962
    Epoch 200/3000 - Loss: 0.478411
    Epoch 300/3000 - Loss: 0.493896
    Epoch 400/3000 - Loss: 0.458938
    Epoch 500/3000 - Loss: 0.462192
    Epoch 600/3000 - Loss: 0.535841
    Epoch 700/3000 - Loss: 0.464195
    Epoch 800/3000 - Loss: 0.581428
    Epoch 900/3000 - Loss: 0.450124
    Epoch 1000/3000 - Loss: 0.535866
    Epoch 1100/3000 - Loss: 0.518068
    Epoch 1200/3000 - Loss: 0.444099
    Epoch 1300/3000 - Loss: 0.431793
    Epoch 1400/3000 - Loss: 0.428368
    Epoch 1500/3000 - Loss: 0.429646
    Epoch 1600/3000 - Loss: 0.426535
    Epoch 1700/3000 - Loss: 0.422849
    Epoch 1800/3000 - Loss: 0.417172
    Epoch 1900/3000 - Loss: 0.412449
    Epoch 2000/3000 - Loss: 0.410855
    Epoch 2100/3000 - Loss: 0.405499
    Epoch 2200/3000 - Loss: 0.406808
    Epoch 2300/3000 - Loss: 0.400958
    Epoch 2400/3000 - Loss: 0.398263
    Epoch 2500/3000 - Loss: 0.397546
    Epoch 2600/3000 - Loss: 0.394822
    Epoch 2700/3000 - Loss: 0.392594
    Epoch 2800/3000 - Loss: 0.392681
    Epoch 2900/3000 - Loss: 0.392279
    Epoch 3000/3000 - Loss: 0.390994

>>> Config 15/19: run_14_ly16_lr0.05_bs32
    Epoch 100/3000 - Loss: 0.351592
